Accession	Lineage
OM129760.1	AY.44
OQ534666.1	AY.47
OR317629.1	AY.47
OR318423.1	AY.54
ON755626.1	AY.57
ON755644.1	AY.57
OP398067.1	AY.75
OQ028292.1	AY.85
ON582582.1	AY.9.2
ON274972.1	AY.98.1
ON439605.1	AY.98.1
ON446746.1	AY.98.1
ON579404.1	AY.99.2
ON579900.1	AY.99.2
OQ905139.1	AY.99.2
OQ523131.1	AY.99.2
ON580802.1	AY.99.2
ON579613.1	AY.99.2
MZ683495.1	B
MT568638.1	B
OR938263.1	B.1
MT810885.1	B.1
OQ816237.1	B.1
OL756433.1	B.1
MW064807.1	B.1
OR310953.1	B.1
OK435290.1	B.1
MW593923.1	B.1
MZ488231.1	B.1
MT886364.1	B.1
OM485200.1	B.1
OL816791.1	B.1
MW190902.1	B.1
OR306657.1	B.1
OQ332298.1	B.1
OR308723.1	B.1
MW276491.1	B.1
MW629141.1	B.1
OR310761.1	B.1
MW923197.1	B.1
MZ254991.1	B.1
OQ904981.1	B.1
MW593844.1	B.1
OL589095.1	B.1
MT499204.1	B.1
MW940542.1	B.1
MT810561.1	B.1
ON286350.1	B.1
OR314415.1	B.1
OQ763811.1	B.1
OQ313045.1	B.1
OP684305.1	B.1.1
OM731961.1	B.1.1
MW703426.1	B.1.1
MT478019.1	B.1.1
MT831423.1	B.1.1
MZ325201.1	B.1.1.222
PP123216.1	B.1.1.222
MT879647.1	B.1.1.25
MT831240.1	B.1.1.291
PP045884.1	B.1.1.312
OL477224.1	B.1.1.434
OR305069.1	B.1.1.464
MZ202836.1	B.1.1.519
PP122335.1	B.1.1.519
MZ133336.1	B.1.1.519
MZ415345.1	B.1.1.519
OK435845.1	B.1.1.519
OL979795.1	B.1.1.63
OL980239.1	B.1.1.63
MW495185.1	B.1.110.3
MT772417.1	B.1.139
ON290512.1	B.1.160
OQ898436.1	B.1.160
ON298267.1	B.1.160
ON272221.1	B.1.160
ON290791.1	B.1.160
ON291149.1	B.1.160
ON288149.1	B.1.160.30
ON442250.1	B.1.177
OR308641.1	B.1.2
OM315953.1	B.1.2
OR310646.1	B.1.2
OR315209.1	B.1.2
OK335457.1	B.1.2
OR316055.1	B.1.2
OR313455.1	B.1.2
ON085578.1	B.1.2
OR306487.1	B.1.2
MW565208.1	B.1.2
OR312118.1	B.1.2
ON455059.1	B.1.2
MW739290.1	B.1.2
MW752505.1	B.1.2
MT956775.1	B.1.2
OR611191.1	B.1.2
OQ756707.1	B.1.2
MW850752.1	B.1.2
MZ245584.1	B.1.2
OQ204561.1	B.1.2
MW739371.1	B.1.2
MZ404407.1	B.1.2
MZ378453.1	B.1.2
OL615542.1	B.1.2
OP879399.1	B.1.2
MZ312978.1	B.1.2
OP726878.1	B.1.2
OR301046.1	B.1.2
OL966622.1	B.1.2
MZ500425.1	B.1.2
OL965774.1	B.1.2
ON292661.1	B.1.2
MZ635520.1	B.1.2
MZ500264.1	B.1.2
OR313466.1	B.1.2
MW629429.1	B.1.2
MW562796.1	B.1.2
OQ161326.1	B.1.2
MW505209.1	B.1.2
ON067522.2	B.1.2
MW925536.1	B.1.2
OR318180.1	B.1.2
MW565292.1	B.1.2
MW939455.1	B.1.2
OR313025.1	B.1.2
MZ378299.1	B.1.2
OR314105.1	B.1.2
MW973034.1	B.1.232
OL473568.1	B.1.234
MW837395.1	B.1.234
OP596471.1	B.1.234
MW681028.1	B.1.240
OR302050.1	B.1.240
ON293089.1	B.1.240
MW482955.1	B.1.240
MZ911663.1	B.1.241
MZ313048.1	B.1.243
MW972980.1	B.1.243
MZ448711.1	B.1.243
OR317473.1	B.1.243
MW700436.1	B.1.243
MW702438.1	B.1.311
MW565574.1	B.1.320
OR608728.1	B.1.349
OP053412.1	B.1.351
PP121060.1	B.1.36
OL981045.1	B.1.36.27
OR306102.1	B.1.369
MW577004.1	B.1.369
OR905088.1	B.1.369
OR308424.1	B.1.369
MW449428.1	B.1.400
OL967055.1	B.1.426
PP046308.1	B.1.427
PP119629.1	B.1.427
MZ722510.1	B.1.427
MW930766.1	B.1.427
MW700685.1	B.1.429
MZ500454.1	B.1.429
PP119655.1	B.1.429
MZ635992.1	B.1.429
MZ722791.1	B.1.429
MZ453715.1	B.1.429
OL538374.1	B.1.429
PP119700.1	B.1.429
OR875294.1	B.1.429
MZ499987.1	B.1.429
MT890337.1	B.1.509
MW495193.1	B.1.517
MZ164529.1	B.1.525
MZ641047.1	B.1.526
MZ639695.1	B.1.526
MZ640875.1	B.1.526
MZ832646.1	B.1.526
MZ640551.1	B.1.526
OL474367.1	B.1.526
MZ637556.1	B.1.526
MW987273.1	B.1.526
OL475524.1	B.1.526
OK246205.1	B.1.526
MW837388.1	B.1.561
MW035565.1	B.1.564
OR311482.1	B.1.565
MW702059.1	B.1.582
MT834656.1	B.1.595
MW406739.1	B.1.595
MZ473398.1	B.1.596
MW973725.1	B.1.609
ON291531.1	B.1.617.2
OM190618.1	B.1.617.2
OP614097.1	B.1.617.2
OK104596.1	B.1.617.2
OL719170.1	B.1.617.2
OM221712.1	B.1.617.2
MZ499394.1	B.1.637
OL983194.1	B.1.637
OL538333.1	B.1.637
OM328054.1	BA.1
ON550167.1	BA.1
ON112813.1	BA.1
OM311584.1	BA.1
OQ314212.1	BA.1
ON446923.1	BA.1
OQ524087.1	BA.1
OM215004.1	BA.1
ON085963.1	BA.1.1
ON103655.1	BA.1.1
ON429077.1	BA.1.1
OR055643.1	BA.1.1
OQ618305.1	BA.1.1
ON477249.1	BA.1.1
OM202601.1	BA.1.1
OR054525.1	BA.1.1
OM637007.1	BA.1.1
OQ525180.1	BA.1.1
OQ089189.1	BA.1.1
ON518701.1	BA.1.1
ON099584.1	BA.1.1
OQ761809.1	BA.1.1
ON368353.1	BA.1.1
OQ089283.1	BA.1.1
OM362894.1	BA.1.1
ON516254.1	BA.1.1
OM322001.1	BA.1.1
OQ761854.1	BA.1.1
OR055435.1	BA.1.1
ON442755.1	BA.1.1
OM934933.1	BA.1.1
ON477312.1	BA.1.1
ON112672.1	BA.1.1
ON072454.1	BA.1.1
OR055255.1	BA.1.1
ON159063.1	BA.1.1
ON266385.1	BA.1.1
OP003097.1	BA.1.1
OQ523987.1	BA.1.1
OR055882.1	BA.1.1
ON425596.1	BA.1.1
ON065476.1	BA.1.1
ON266164.1	BA.1.1.1
OQ764967.1	BA.1.1.18
OP121720.1	BA.1.1.18
OM124533.1	BA.1.1.18
OM326354.1	BA.1.1.18
OQ762341.1	BA.1.1.18
OR955869.1	BA.1.1.18
ON639394.1	BA.1.1.18
OM191957.1	BA.1.1.18
OR955747.1	BA.1.15
OQ313526.1	BA.1.15
OQ413858.1	BA.1.15
OM979032.1	BA.1.15
OQ764936.1	BA.1.15
OM349181.1	BA.1.15
OR615394.1	BA.1.15
ON202075.1	BA.1.15
ON550080.1	BA.1.15
OM213829.1	BA.1.17
ON517954.1	BA.1.17.2
PP045185.1	BA.1.17.2
OM292054.1	BA.1.18
OM280249.1	BA.1.18
OQ903841.1	BA.1.18
OQ763186.1	BA.1.18
ON004305.1	BA.1.20
OR954005.1	BA.1.20
ON104299.1	BA.1.20
ON266683.1	BA.2
ON934303.1	BA.2
ON256200.1	BA.2
OR279873.1	BA.2
OQ393647.1	BA.2
OQ908562.1	BA.2
OM844276.1	BA.2
OR151340.1	BA.2
OQ898366.1	BA.2
OM843226.1	BA.2
OR324070.1	BA.2
OR278279.1	BA.2
OQ903136.1	BA.2
OR357668.1	BA.2
OP295728.1	BA.2.10
OP362441.1	BA.2.12.1
ON734605.1	BA.2.12.1
OP249171.1	BA.2.12.1
OQ393658.1	BA.2.12.1
OP039655.1	BA.2.12.1
OP248881.1	BA.2.12.1
OR153619.1	BA.2.12.1
OP472079.1	BA.2.12.1
ON848128.1	BA.2.12.1
OR151084.1	BA.2.12.1
ON952040.1	BA.2.12.1
OQ026506.1	BA.2.3
OR274946.1	BA.2.3
OR152609.1	BA.2.9
OR151120.1	BA.2.9
OQ906947.1	BA.4
OP810382.1	BA.4.1
OR153411.1	BA.4.1
OP404899.1	BA.4.6
OP810183.1	BA.4.6
OQ619422.1	BA.5
OP393157.1	BA.5.1
OR154886.1	BA.5.1
OR157197.1	BA.5.1
OR089009.1	BA.5.1
ON964899.1	BA.5.1.1
OR156878.1	BA.5.1.30
OQ906156.1	BA.5.2
OQ059029.1	BA.5.2
OP658998.1	BA.5.2
OQ616635.1	BA.5.2
OQ778481.1	BA.5.2.1
OR969038.1	BA.5.2.1
OP923591.1	BA.5.2.1
OP312301.1	BA.5.2.1
OP744930.1	BA.5.2.1
OP362362.1	BA.5.2.1
OP395435.1	BA.5.2.1
OP392902.1	BA.5.2.1
OQ777952.1	BA.5.2.9
OP103880.1	BA.5.5
OP719193.1	BA.5.5
ON885548.1	BA.5.5
OP392613.1	BA.5.6
OP320586.1	BA.5.6
OR325568.1	BE.1
OP821888.1	BE.1.1
OP997280.1	BF.10
OP858934.1	BF.26
OP923600.1	BF.5
OQ208195.1	BF.7
OQ265202.1	BQ.1
OQ989773.1	BQ.1
OQ242913.1	BQ.1.1
OQ792945.1	BQ.1.1
OQ322631.1	BQ.1.1
OQ265642.1	BQ.1.1
OQ526092.1	BQ.1.1
OQ265806.1	BQ.1.2
MW155536.1	D.2
MW153776.1	D.2
MT971269.1	D.2
MW183998.1	D.2
MW156201.1	D.2
MW184500.1	D.2
MW277293.1	D.2
MW321091.1	D.2
MW156756.1	D.2
MW184250.1	D.2
MT970311.1	D.2
MW153462.1	D.2
MW153993.1	D.2
MT971054.1	D.2
MW277433.1	D.2
MT969451.1	D.2
OP855512.1	P.1
ON575380.1	P.1
OL850098.1	P.1
MZ728306.1	P.1
ON316625.1	P.1
OP398664.1	P.1
MZ685120.1	P.1.10
OK246176.1	P.1.17
OQ521866.1	P.1.4
MZ436894.1	R.1
